Greek_Mod	avˈɣo̞
Armenian_Mod	ʣu
Iron_Ossetic	ajk
Digor_Ossetic	ajkɐ
Old_Church_Slavonic	(j)ajĭce
Bulgarian	jɐʲˈʦɛ
Russian	jaj'tso
Polish	ˈjajkɔ
Czech	vɛjt͡sɛ
Old_Norse	eɡː
Icelandic_St	ɛɡ̊ː
Faroese	ɛɡː
Norwegian	ɛɡː
Stavangersk	ɛɡː
Old_Swedish	æɡː
Swedish	ɛgː
Övdalian	ɛgː
Danish	ɛˀg̥
Danish_Fjolde	æɣ
Gutnish_Lau	ɛɡː
English	ɛg
Frisian	aːɨ
Dutch_List	ɛi
German	aĭ
Latin	ˈoːwum
Catalan	ɔu
Portuguese_St	'ovu
Spanish	'weβo
French	œf
Italian	'wɔvo
Rumanian_List	ow
Old_Irish	oɣ
Cornish	ɔˑɪ
Breton_St	vi:
Breton2St2	ɥi:
Irish_B		u:
Irish_B2	uv
