Albanian_T	aˈta	
Greek_Mod	afˈti	
Assamese	xihɒ̃t	
Oriya	semane	
Marathi	te
M2arathi tja
M3arathi ti:	
Bulgarian	tɛ	
Macedonian	tiɛ	
Old_Norse	θɛir	
Icelandic_St	θeiːr	
Faroese	tʰaiːɹ	
Norwegian	diː	
Stavangersk	diː
S2tavangersk	di	
Old_Swedish	ˈθeː	
Swedish	dɔmː	
Övdalian	dɪɛːr	
Danish	di	
Danish_Fjolde	di	
Gutnish_Lau	dɪː	
G2utnish_Lau	deː	
English	ðɛɪ	
Frisian	sɛɪ	
Dutch_List	zɛi	
German	zi:	
Italian	es'si	
Cornish	i	
Breton_St	i
B2reton_St	ĩnt	
Welsh_N	hwi	
Irish_B	ʃiəd	
